et cetera	\\emph{et cetera}
FORMELSPRACHE	FORMELSPRACHE
a∙b = c∙d	$a\\cdot b = c\\cdot d$
a ∙ b = c ∙ d	$a\\cdot b = c\\cdot d$
a = b ∙ c ∙ d	$a\\cdot b = c\\cdot d$
F=m∙a	$F= m\\cdot a$
ω = 2π/T	$\\omega = 2\\pi/T$
f=1/T	$f=1/T$
I-t-Diagramm	$I$-$t$-Diagramm
α-	$\\alpha$-
β-	$\\beta$-
γ-	$\\gamma$-
WORTTRENNUNG	WORTTRENNUNG
Elektrizitätslehre	Elektrizitäts\\-lehre
Reflexionsgesetz	Reflexions\\-gesetz
Elektromagnetische	Elektro\\-ma\\-gne\\-tische
Erhaltungssätze	Erhaltungs\\-sätze
U-I-Kennlinie	$U$-$I$-Kenn\\-linie
Quantenphysikalische	Quanten\\-phy\\-si\\-ka\\-lische
Selbstinduktion	Selbst\\-induktion
Quantenobjekte	Quanten\\-objekte
Energiespeicher	Energie\\-speicher
Bildentstehung	Bild\\-ent\\-steh\\-ung
Entfernungsbestimmung	Entfernungs\\-bestimmung
Großstrukturen	Groß\\-struk\\-turen
Schleifenbahnen	Schleifen\\-bahnen
Elektromagnetismus	Elektro\\-ma\\-gne\\-tis\\-mus
Röntgenstrahlung	Rönt\\-gen\\-strah\\-lung
